Beginning Training
Error: 9.514310e-01, GPU time: 5446.058105
Error: 9.511567e-01, GPU time: 10806.410156
Error: 5.864033e-01, GPU time: 16167.490234
Error: 2.586847e-01, GPU time: 21539.593750
Error: 1.992303e-01, GPU time: 26920.886719
Error: 1.689444e-01, GPU time: 32304.978516
Error: 1.533194e-01, GPU time: 37714.628906
Error: 1.443480e-01, GPU time: 43114.125000
Error: 1.377970e-01, GPU time: 48515.585938
Error: 1.326276e-01, GPU time: 53909.765625
Error: 1.284720e-01, GPU time: 59314.359375
Error: 1.249939e-01, GPU time: 64715.199219
Error: 1.220682e-01, GPU time: 69946.843750
Error: 1.196298e-01, GPU time: 75149.687500
Error: 1.176047e-01, GPU time: 80365.679688
Error: 1.159467e-01, GPU time: 85565.945312
Error: 1.145728e-01, GPU time: 90768.328125
Error: 1.133999e-01, GPU time: 95974.765625
Error: 1.123862e-01, GPU time: 101175.062500
Error: 1.115164e-01, GPU time: 106372.242188
Error: 1.107596e-01, GPU time: 111569.507812
Error: 1.100965e-01, GPU time: 116773.359375
Error: 1.095102e-01, GPU time: 121984.203125
Error: 1.089847e-01, GPU time: 127186.437500
Error: 1.085108e-01, GPU time: 132376.062500
Error: 1.080792e-01, GPU time: 137553.828125
Error: 1.076807e-01, GPU time: 142724.171875
Error: 1.073131e-01, GPU time: 147911.093750
Error: 1.069714e-01, GPU time: 153052.156250
Error: 1.066544e-01, GPU time: 158224.203125
Error: 1.063558e-01, GPU time: 163401.187500
Error: 1.060770e-01, GPU time: 168583.234375
Error: 1.058126e-01, GPU time: 173736.875000
Error: 1.055652e-01, GPU time: 178893.125000
Error: 1.053317e-01, GPU time: 184071.687500
Error: 1.051093e-01, GPU time: 189219.937500
Error: 1.048989e-01, GPU time: 194377.718750
Error: 1.046992e-01, GPU time: 199573.593750
Error: 1.045093e-01, GPU time: 204750.093750
Error: 1.043297e-01, GPU time: 209971.656250
Error: 1.041577e-01, GPU time: 215157.453125
Error: 1.039932e-01, GPU time: 220328.250000
Error: 1.038364e-01, GPU time: 225504.984375
Error: 1.036839e-01, GPU time: 230690.046875
Error: 1.035391e-01, GPU time: 235883.046875
Error: 1.034001e-01, GPU time: 241086.515625
Error: 1.032652e-01, GPU time: 246259.562500
Error: 1.031357e-01, GPU time: 251461.203125
Error: 1.030113e-01, GPU time: 256646.171875
Error: 1.028921e-01, GPU time: 261869.593750

 Time - 261869.593750
Running Test Set
Accuracy: 97.02%
