Beginning Training
Error: 9.807030e-01, GPU Time: 5914.957055
Error: 9.800410e-01, GPU Time: 11451.198905
Error: 6.147350e-01, GPU Time: 16636.425339
Error: 2.875670e-01, GPU Time: 22030.477544
Error: 2.282540e-01, GPU Time: 27490.74807
Error: 1.976400e-01, GPU Time: 32926.222266
Error: 1.819470e-01, GPU Time: 38356.389879
Error: 1.737970e-01, GPU Time: 43808.196109
Error: 1.670610e-01, GPU Time: 48818.800638
Error: 1.612780e-01, GPU Time: 54502.186224
Error: 1.581330e-01, GPU Time: 59654.619256
Error: 1.531170e-01, GPU Time: 65026.096016
Error: 1.509650e-01, GPU Time: 70273.618592
Error: 1.491200e-01, GPU Time: 75831.1719
Error: 1.458050e-01, GPU Time: 80798.312917
Error: 1.453490e-01, GPU Time: 86041.840793
Error: 1.445600e-01, GPU Time: 91118.313843
Error: 1.425480e-01, GPU Time: 96403.628656
Error: 1.423500e-01, GPU Time: 101521.450547
Error: 1.414710e-01, GPU Time: 106790.295386
Error: 1.394250e-01, GPU Time: 112099.620574
Error: 1.386360e-01, GPU Time: 117376.199011
Error: 1.377990e-01, GPU Time: 122509.694722
Error: 1.385210e-01, GPU Time: 127747.196772
Error: 1.383390e-01, GPU Time: 132753.216121
Error: 1.371570e-01, GPU Time: 137875.61427
Error: 1.367610e-01, GPU Time: 143307.676065
Error: 1.361400e-01, GPU Time: 148572.335653
Error: 1.364280e-01, GPU Time: 153537.953667
Error: 1.362240e-01, GPU Time: 158726.650061
Error: 1.347920e-01, GPU Time: 164085.982779
Error: 1.354300e-01, GPU Time: 169251.895497
Error: 1.347710e-01, GPU Time: 174415.734532
Error: 1.351120e-01, GPU Time: 179459.651709
Error: 1.335020e-01, GPU Time: 184384.304082
Error: 1.349010e-01, GPU Time: 189789.614434
Error: 1.330520e-01, GPU Time: 194934.354113
Error: 1.336790e-01, GPU Time: 200146.24606
Error: 1.333510e-01, GPU Time: 205394.299929
Error: 1.323660e-01, GPU Time: 210577.389974
Error: 1.339500e-01, GPU Time: 215489.046913
Error: 1.335830e-01, GPU Time: 221001.569702
Error: 1.335790e-01, GPU Time: 225936.053774
Error: 1.320200e-01, GPU Time: 231079.926527
Error: 1.325040e-01, GPU Time: 236491.053693
Error: 1.328590e-01, GPU Time: 241456.074132
Error: 1.318230e-01, GPU Time: 246864.375587
Error: 1.321060e-01, GPU Time: 251956.00844
Error: 1.316000e-01, GPU Time: 257130.426809
Error: 1.313120e-01, GPU Time: 262493.220378
 Time - 261869.593750
Running Test Set
Accuracy: 96.58%
